index	promptID	pairID	genre	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	label1	label2	label3	label4	label5	gold_label
529	529	529	crowd:upward_monotone:conjunction					Deze band heeft wat lucht nodig.	Deze band heeft wat werk en wat lucht nodig.						neutral
530	530	530	crowd:upward_monotone:lexical_knowledge					Veel tabak wordt gekweekt in north carolina.	Veel nachtschade wordt gekweekt in north carolina.						neutral
531	531	531	crowd:upward_monotone					Hij droogde zijn handen af aan een zakdoek.	Hij droogde zijn handen af aan een witte zakdoek.						neutral
532	532	532	crowd:upward_monotone					Hij droogde zijn handen af aan een witte zakdoek.	Hij droogde zijn handen af aan een zakdoek.						entailment
533	533	533	crowd:upward_monotone:lexical_knowledge					Een koud bad verfriste hem.	Een koud water verfriste hem.						neutral
534	534	534	crowd:upward_monotone:lexical_knowledge					Een koud bad verfriste hem.	Een koud zwembad verfriste hem.						neutral
535	535	535	crowd:upward_monotone					Een koud bad verfriste hem.	Een koud bubbelbad verfriste hem.						neutral
536	536	536	crowd:upward_monotone					Een koud bubbelbad verfriste hem.	Een koud bad verfriste hem.						neutral
537	537	537	crowd:upward_monotone:lexical_knowledge					Een koud bad verfriste hem.	een koude jacuzzi verfriste hem.						neutral
538	538	538	crowd:upward_monotone:conjunction					Hij is een aantal maanden in Schotland geweest.	Hij is een aantal maanden van juni en juli in Schotland geweest.						neutral
539	539	539	crowd:upward_monotone:conjunction					Hij is een aantal maanden van juni en juli in Schotland geweest.	Hij is een aantal maanden in Schotland geweest.						entailment
540	540	540	crowd:upward_monotone:conjunction					Hij is een aantal maanden in Schotland geweest.	Hij is een aantal maanden van december en januari in Schotland geweest.						neutral
541	541	541	crowd:upward_monotone					Hij is een aantal maanden in Schotland geweest.	Hij is dit jaar een aantal maanden in Schotland geweest.						neutral
542	542	542	crowd:upward_monotone					Hij is dit jaar een aantal maanden in Schotland geweest.	Hij is een aantal maanden in Schotland geweest.						entailment
543	543	543	crowd:upward_monotone:lexical_knowledge					Tom schonk wijn in een plastic beker en gaf het aan Mary.	Tom schonk somontano wijn in een plastic beker en gaf het aan Mary.						neutral
544	544	544	crowd:upward_monotone					Tom schonk wijn in een plastic beker en gaf het aan Mary.	Tom schonk wat rode wijn in een plastic beker en gaf het aan Mary.						neutral
545	545	545	crowd:upward_monotone:conjunction					Tom schonk wijn in een plastic beker en gaf het aan Mary.	Tom schonk wijn en water in een plastic beker en gaf het aan Mary.						neutral
546	546	546	crowd:upward_monotone:lexical_knowledge					Een onthoofd lichaam lag op de tafel van de lijkschouwer.	Een onthoofd lijk was begraven op zijn eetkamer.						neutral
547	547	547	crowd:upward_monotone:lexical_knowledge					Een onthoofd lichaam lag op de tafel van de lijkschouwer.	Een onthoofd persoon verstopt in zijn kantoor lag op de tafel van de lijkschouwer.						neutral
548	548	548	crowd:upward_monotone:lexical_knowledge					Brian kocht een lippenstift voor Kate.	Brian kocht een lepel voor Kate.						neutral
549	549	549	crowd:upward_monotone:lexical_knowledge					Brian kocht een lippenstift voor Kate.	Brian kocht een make-up kit voor zijn vriendin.						neutral
550	550	550	crowd:upward_monotone:lexical_knowledge					Brian kocht een lippenstift voor Kate.	Brian kocht een lippenbalsem voor Mary.						neutral
551	551	551	crowd:upward_monotone:lexical_knowledge					Brian kocht een lippenstift voor Kate.	Brian kocht een rouge voor Kate.						neutral
552	552	552	crowd:upward_monotone					Hij draagt een hoed.	Hij draagt een breedgerande hoed.						neutral
553	553	553	crowd:upward_monotone					Hij draagt een breedgerande hoed.	Hij draagt een hoed.						entailment
554	554	554	crowd:upward_monotone:lexical_knowledge					Een paar passagiers klaagden over de service.	Een paar sterfelijken klaagden over de service.						neutral
555	555	555	crowd:upward_monotone:npi					Bush wilde nooit iemand pijn doen.	Vorige president wilde nooit iemand pijn doen.						neutral
556	556	556	crowd:upward_monotone:npi					Bush wilde nooit iemand pijn doen.	Verenigde staten president bush wilde nooit iemand pijn doen.						neutral
557	557	557	crowd:upward_monotone:npi					Bush wilde nooit iemand pijn doen.	Dappere bush wilde nooit iemand pijn doen.						neutral
558	558	558	crowd:upward_monotone:lexical_knowledge					John erfde een groot fortuin.	John erfde een groot huis.						neutral
559	559	559	crowd:upward_monotone:lexical_knowledge					John erfde een groot fortuin.	John erfde een groot paard.						neutral
560	560	560	crowd:upward_monotone:conjunction					John erfde een groot fortuin.	John erfde een groot fortuin en een mooie sieraden.						neutral
561	561	561	crowd:upward_monotone:conjunction					John erfde een groot fortuin en een mooie sieraden.	John erfde een groot fortuin.						entailment
562	562	562	crowd:upward_monotone:conjunction					John erfde een groot fortuin.	John erfde een groot fortuin en een mooie auto.						neutral
563	563	563	crowd:upward_monotone:conjunction					John erfde een groot fortuin en een mooie auto.	John erfde een groot fortuin.						entailment
564	564	564	crowd:upward_monotone					Tom staat tegenover een paar serieuze problemen.	Tom staat tegenover een paar serieuze problemen met de wet.						neutral
565	565	565	crowd:upward_monotone					Tom staat tegenover een paar serieuze problemen met de wet.	Tom staat tegenover een paar serieuze problemen.						entailment
566	566	566	crowd:upward_monotone					Tom staat tegenover een paar serieuze problemen.	Tom staat tegenover een paar serieuze gezondheidsproblemen.						neutral
567	567	567	crowd:upward_monotone					Tom staat tegenover een paar serieuze gezondheidsproblemen.	Tom staat tegenover een paar serieuze problemen.						entailment
568	568	568	crowd:upward_monotone					Tom staat tegenover een paar serieuze problemen.	Tom staat tegenover een paar serieuze problemen om examens te hebben.						neutral
569	569	569	crowd:upward_monotone					Tom staat tegenover een paar serieuze problemen om examens te hebben.	Tom staat tegenover een paar serieuze problemen.						entailment
570	570	570	crowd:upward_monotone					Tom staat tegenover een paar serieuze problemen.	Tom staat tegenover een paar serieuze werkproblemen.						neutral
571	571	571	crowd:upward_monotone					Tom staat tegenover een paar serieuze werkproblemen.	Tom staat tegenover een paar serieuze problemen.						neutral
572	572	572	crowd:upward_monotone					Ik wil een dozijn bananen kopen.	Ik wil een dozijn tomaten kopen om een pizza te maken.						neutral
573	573	573	crowd:upward_monotone					Ik wil een dozijn bananen kopen.	Ik wil een dozijn koekjes kopen om ze weg te geven.						neutral
574	574	574	crowd:upward_monotone					Ze gaf mij een charmante lach.	Ze gaf mij een charmante lach omdat ze van me houdt.						neutral
575	575	575	crowd:upward_monotone:lexical_knowledge					Ze gaf mij een charmante lach.	Ze gaf mij een charmante verrassing.						neutral
576	576	576	crowd:upward_monotone:lexical_knowledge					Ze gaf mij een charmante lach.	Ze gaf mij een charmante familie.						neutral
577	577	577	crowd:upward_monotone					Er zitten veel eieren in de doos.	Er zitten veel grote eieren in de doos.						neutral
578	578	578	crowd:upward_monotone					Er zitten veel grote eieren in de doos.	Er zitten veel eieren in de doos.						entailment
579	579	579	crowd:upward_monotone					Er zitten veel eieren in de doos.	Er zitten veel witte eieren in de doos.						neutral
580	580	580	crowd:upward_monotone					Er zitten veel witte eieren in de doos.	Er zitten veel eieren in de doos.						entailment
581	581	581	crowd:upward_monotone					Een grote spin was een web aan het spinnen.	Een grote spin was een geweldig web aan het spinnen.						neutral
582	582	582	crowd:upward_monotone					Een grote spin was een geweldig web aan het spinnen.	Een grote spin was een web aan het spinnen.						entailment
583	583	583	crowd:upward_monotone:lexical_knowledge					Een grote spin was een web aan het spinnen.	Een grote spin was een park aan het spinnen.						neutral
584	584	584	crowd:upward_monotone:lexical_knowledge					Een grote spin was een web aan het spinnen.	Een grote spin was een licht aan het spinnen.						neutral
585	585	585	crowd:upward_monotone					Ze gaf een kat wat melk.	Ze gaf een kat wat melk uit jouw glas.						neutral
586	586	586	crowd:upward_monotone					Ze gaf een kat wat melk uit jouw glas.	Ze gaf een kat wat melk.						entailment
587	587	587	crowd:upward_monotone					Ze gaf een kat wat melk.	Ze gaf een kat wat melk in jouw huis.						neutral
588	588	588	crowd:upward_monotone					Ze gaf een kat wat melk in jouw huis.	Ze gaf een kat wat melk.						entailment
589	589	589	crowd:upward_monotone					Er zijn veel fabrieken in Kawasaki.	Er zijn veel elektronische fabrieken in Kawasaki.						neutral
590	590	590	crowd:upward_monotone					Er zijn veel elektronische fabrieken in Kawasaki.	Er zijn veel fabrieken in Kawasaki.						entailment
591	591	591	crowd:upward_monotone					Er zijn veel fabrieken in Kawasaki.	Er zijn veel schoenfabrieken in Kawasaki.						neutral
592	592	592	crowd:upward_monotone					Er zijn veel schoenfabrieken in Kawasaki.	Er zijn veel fabrieken in Kawasaki.						entailment
593	593	593	crowd:upward_monotone					Er zijn veel fabrieken in Kawasaki.	Er zijn veel voedselfabrieken in Kawasaki.						neutral
594	594	594	crowd:upward_monotone					Er zijn veel voedselfabrieken in Kawasaki.	Er zijn veel fabrieken in Kawasaki.						entailment
595	595	595	crowd:upward_monotone					Susan heeft een jurk gemaakt voor Jill.	Voor de modeshow heeft susan een jurk gemaakt om haar geestigheid te tonen.						neutral
596	596	596	crowd:upward_monotone					Ze is een speeltje aan het kopen voor haar kind.	Ze is een duur speeltje aan het kopen voor haar kind.						neutral
597	597	597	crowd:upward_monotone:conjunction					Er zitten een paar appels in de mand.	Er zitten een paar appels en peren in de mand.						neutral
598	598	598	crowd:upward_monotone					Er zitten een paar appels in de mand.	Er zitten een paar rode appels in de mand.						neutral
599	599	599	crowd:upward_monotone					Er zitten een paar rode appels in de mand.	Er zitten een paar appels in de mand.						entailment
600	600	600	crowd:upward_monotone					Susan heeft een jurk gemaakt voor Jill.	Susan heeft een lange jurk gemaakt voor Jill.						neutral
601	601	601	crowd:upward_monotone					Susan heeft een lange jurk gemaakt voor Jill.	Susan heeft een jurk gemaakt voor Jill.						entailment
602	602	602	crowd:upward_monotone					Susan heeft een jurk gemaakt voor Jill.	Susan heeft een minijurk gemaakt voor Jill.						neutral
603	603	603	crowd:upward_monotone					Susan heeft een minijurk gemaakt voor Jill.	Susan heeft een jurk gemaakt voor Jill.						entailment
604	604	604	crowd:upward_monotone					Susan heeft een jurk gemaakt voor Jill.	Susan heeft een lange zwarte jurk gemaakt voor Jill.						neutral
605	605	605	crowd:upward_monotone					Susan heeft een lange zwarte jurk gemaakt voor Jill.	Susan heeft een jurk gemaakt voor Jill.						entailment
606	606	606	crowd:upward_monotone:lexical_knowledge					Tom droeg een zwarte hoed.	Tom droeg een zwart shirt.						neutral
607	607	607	crowd:upward_monotone:lexical_knowledge					Tom droeg een zwarte hoed.	Tom droeg een zwarte trui.						neutral
608	608	608	crowd:upward_monotone:lexical_knowledge					Tom droeg een zwarte hoed.	Tom droeg een zwart jasje.						neutral
609	609	609	crowd:upward_monotone:lexical_knowledge					Tom droeg een zwarte hoed.	Tom droeg een zwart vest.						neutral
610	610	610	crowd:upward_monotone:lexical_knowledge					Tom droeg een zwarte hoed.	Tom droeg een zwarte sjaal.						neutral
611	611	611	crowd:upward_monotone:lexical_knowledge					Tom droeg een zwarte hoed.	Tom droeg een zwarte pet.						neutral
612	612	612	crowd:upward_monotone:lexical_knowledge					Tom is een fantastische zanger.	Tom is een fantastische artiest.						neutral
613	613	613	crowd:upward_monotone					Tom is een fantastische zanger.	Tom is een fantastische moderne zanger.						neutral
614	614	614	crowd:upward_monotone					Tom is een fantastische moderne zanger.	Tom is een fantastische zanger.						entailment
615	615	615	crowd:upward_monotone:lexical_knowledge					Ik heb wat tijd doorgebracht in Boston.	Ik heb wat tijd doorgebracht in parijs.						neutral
616	616	616	crowd:upward_monotone					Een tsunami raakte de noordoostelijke kust van Hokkaido.	Een grote tsunami raakte de noordoostkust van Hokkaido.						neutral
617	617	617	crowd:upward_monotone:conjunction					Hij droomt dat iedereen in China Esperanto spreekt.	Hij droomt dat iedereen in China Esperanto en Engels spreekt.						neutral
618	618	618	crowd:upward_monotone					Ze sliep voor een paar uur.	Ze sliep voor een paar droomloze uren.						neutral
619	619	619	crowd:upward_monotone					Ze sliep voor een paar droomloze uren.	Ze sliep voor een paar uur.						neutral
620	620	620	crowd:upward_monotone:lexical_knowledge					Ik hield ooit een dagboek bij.	Ik hield ooit een hond.						neutral
621	621	621	crowd:upward_monotone:lexical_knowledge					Ik hield ooit een dagboek bij.	Ik bewaarde ooit een geheim.						neutral
622	622	622	crowd:upward_monotone:lexical_knowledge					Ik hield ooit een dagboek bij.	Ik hield ooit aantekeningen bij.						neutral
623	623	623	crowd:upward_monotone:lexical_knowledge					Ik hield ooit een dagboek bij.	Ik hield ooit een ding bij me.						neutral
624	624	624	crowd:upward_monotone					Een kind is harp aan het spelen.	Een jongen speelt thuis met een vriend.						neutral
625	625	625	crowd:upward_monotone:lexical_knowledge					Een kind is harp aan het spelen.	Een kind is saxofoon aan het spelen.						neutral
626	626	626	crowd:upward_monotone:lexical_knowledge					Een kind is harp aan het spelen.	Een kind is aan het voetballen.						neutral
627	627	627	crowd:upward_monotone					Een Californische politieman stopte een auto en sprak met de bestuurder.	Een Californische speciale politieman stopte een auto en sprak met de bestuurder.						neutral
628	628	628	crowd:upward_monotone					Een Californische speciale politieman stopte een auto en sprak met de bestuurder.	Een Californische politieman stopte een auto en sprak met de bestuurder.						entailment
629	629	629	crowd:upward_monotone					Een Californische politieman stopte een auto en sprak met de bestuurder.	Een Californische politieman die op een motor reed stopte een auto en sprak met de bestuurder.						neutral
630	630	630	crowd:upward_monotone					Een Californische politieman die op een motor reed stopte een auto en sprak met de bestuurder.	Een Californische politieman stopte een auto en sprak met de bestuurder.						entailment
631	631	631	crowd:upward_monotone					Hij benaderde de jongen die een boek aan het lezen was.	Hij benaderde de jongen die een goed boek aan het lezen was.						neutral
632	632	632	crowd:upward_monotone					Hij benaderde de jongen die een goed boek aan het lezen was.	Hij benaderde de jongen die een boek aan het lezen was.						entailment
633	633	633	crowd:upward_monotone:lexical_knowledge					Hij benaderde de jongen die een boek aan het lezen was.	Hij benaderde de jongen die een interessante passage aan het lezen was.						neutral
634	634	634	crowd:upward_monotone:lexical_knowledge					Hij benaderde de jongen die een boek aan het lezen was.	Hij benaderde de jongen die een tijdschrift aan het lezen was.						neutral
635	635	635	crowd:upward_monotone:conjunction					Ik wil een dozijn eieren kopen.	Ik wil anderhalf dozijn eieren kopen.						neutral
636	636	636	crowd:upward_monotone:conjunction					Ik wil een dozijn eieren kopen.	Ik wil een dozijn broden en eieren kopen.						neutral
637	637	637	crowd:upward_monotone					Tom droeg een Hawaiaans shirt.	Tom droeg een Hawaiaans lang shirt.						neutral
638	638	638	crowd:upward_monotone					Tom droeg een Hawaiaans lang shirt.	Tom droeg een Hawaiaans shirt.						entailment
639	639	639	crowd:upward_monotone					Ik doe wat werk voor Tom van tijd tot tijd.	Ik doe wat boekhoudingwerk voor Tom van tijd tot tijd.						neutral
640	640	640	crowd:upward_monotone					Ik doe wat werk voor Tom van tijd tot tijd.	Ik doe wat schilderwerk voor Tom van tijd tot tijd.						neutral
641	641	641	crowd:upward_monotone					Ik doe wat schilderwerk voor Tom van tijd tot tijd.	Ik doe wat werk voor Tom van tijd tot tijd.						entailment
642	642	642	crowd:upward_monotone:conjunction					Tom kocht een paar chocolaatjes voor Mary.	Tom kocht een paar lekkere chocolaatjes en snoepjes voor Mary.						neutral
643	643	643	crowd:upward_monotone:conjunction					Tom kocht een paar lekkere chocolaatjes en snoepjes voor Mary.	Tom kocht een paar chocolaatjes voor Mary.						entailment
644	644	644	crowd:upward_monotone:lexical_knowledge					Hij gaf de hond een bot.	Hij gaf de hond een schedel.						neutral
645	645	645	crowd:upward_monotone:lexical_knowledge					Ze woont in een of ander dorp in India.	Ze woont in een of ander dorp in een ander land.						neutral
646	646	646	crowd:upward_monotone:lexical_knowledge					Ze woont in een of ander dorp in India.	Ze woont in een of ander dorp in het buitenland.						neutral
647	647	647	crowd:upward_monotone					Ze woont in een of ander dorp in India.	Ze woont in een of ander dorp in noord India.						neutral
648	648	648	crowd:upward_monotone:lexical_knowledge					Ik gaf mijn broer een woordenboek.	Ik gaf mijn broer een kaart.						neutral
649	649	649	crowd:upward_monotone:lexical_knowledge					Ik gaf mijn broer een woordenboek.	Ik gaf mijn broer een potlood.						neutral
650	650	650	crowd:upward_monotone					Bill heeft de misdaad niet gepleegd.	Bills zoon heeft de misdaad niet gepleegd.						neutral
651	651	651	crowd:upward_monotone					Bill heeft de misdaad niet gepleegd.	Bills vader heeft de misdaad niet gepleegd.						neutral
652	652	652	crowd:upward_monotone					Bill heeft de misdaad niet gepleegd.	Oude Bill pleegde niet de misdaad.						neutral
653	653	653	crowd:upward_monotone					Onder de tafel zit een kat.	Onder de tafel zit een rode kat.						neutral
654	654	654	crowd:upward_monotone					Onder de tafel zit een rode kat.	Onder de tafel zit een kat.						entailment
655	655	655	crowd:upward_monotone					Onder de tafel zit een kat.	Onder de tafel zit een witte kat.						neutral
656	656	656	crowd:upward_monotone					Onder de tafel zit een witte kat.	Onder de tafel zit een kat.						entailment
657	657	657	crowd:upward_monotone					Onder de tafel zit een kat.	Onder de tafel zit een hongerige kat.						neutral
658	658	658	crowd:upward_monotone					Onder de tafel zit een hongerige kat.	Onder de tafel zit een kat.						entailment
659	659	659	crowd:upward_monotone					Een hond beet haar been,	Een grote hond beet haar been.						neutral
660	660	660	crowd:upward_monotone					Een grote hond beet haar been.	Een hond beet haar been,						entailment
661	661	661	crowd:upward_monotone					Een hond beet haar been,	Een witte hond beet haar been.						neutral
662	662	662	crowd:upward_monotone					Een witte hond beet haar been.	Een hond beet haar been,						entailment
663	663	663	crowd:upward_monotone					Een hond beet haar been,	Een dolle hond beet haar been.						neutral
664	664	664	crowd:upward_monotone					Een dolle hond beet haar been.	Een hond beet haar been,						entailment
665	665	665	crowd:upward_monotone					Een hond beet haar been,	Een stoute hond beet haar been.						neutral
666	666	666	crowd:upward_monotone					Een stoute hond beet haar been.	Een hond beet haar been,						entailment
667	667	667	crowd:upward_monotone:lexical_knowledge					Een paar mensen zouden de waarheid van zulke roddels betwijfelen.	Een paar mensen zouden de waarheid van zulk wetenschappelijk nieuws betwijfelen.						neutral
668	668	668	crowd:downward_monotone:lexical_knowledge					Ik kreeg brieven van een persoon die ik nooit ontmoet heb.	Ik heb intimi gekregen van een persoon die ik nooit ontmoet heb.						neutral
669	669	669	crowd:downward_monotone:lexical_knowledge					Ik heb geen tekort aan woordenboeken.	Ik heb geen tekort aan goedheid.						neutral
670	670	670	crowd:upward_monotone:lexical_knowledge:npi					Een aardbeving kan op ieder moment gebeuren.	Een trilling kan ieder moment gebeuren.						neutral
671	671	671	crowd:upward_monotone:conditionals					Als ik niet hier was, zou dit kantoor zich binnen drie dagen in chaos bevinden.	Als hij niet hier was, zou het kantoor failliet zijn.						neutral
672	672	672	crowd:upward_monotone:conditionals					Als ik niet hier was, zou dit kantoor zich binnen drie dagen in chaos bevinden.	Als ik niet hier was, zou dit kantoor in het slechtste geval zijn.						neutral
673	673	673	crowd:downward_monotone:lexical_knowledge					Tom is niet goed in sport.	Tom is niet goed in voetbal.						neutral
674	674	674	crowd:upward_monotone:lexical_knowledge					Naar mijn mening is permanente vrede niets dan illusie.	Naar mijn mening is permanente gezondheid niets dan illusie.						neutral
675	675	675	crowd:downward_monotone					Een paar mensen hebben niets te doen in het leven!	Een paar mensen hebben niets te doen in het leven van steden!						neutral
676	676	676	crowd:downward_monotone:conjunction					Jouw broer was niet op school vandaag.	Jouw broer was niet op school gisteren en vandaag.						neutral
677	677	677	crowd:upward_monotone					Schepen kunnen niet concurreren met vliegtuigen voor snelheid.	Auto’s kunnen niet concurreren met vliegtuigen voor snelheid.						neutral
678	678	678	crowd:upward_monotone:lexical_knowledge					Eerlijkheid is geen garantie voor succes.	Arrogantie is geen garantie voor succes.						neutral
679	679	679	crowd:upward_monotone:lexical_knowledge					Eerlijkheid is geen garantie voor succes.	Zelfvertrouwen is geen garantie voor succes.						neutral
680	680	680	crowd:upward_monotone:lexical_knowledge					Eerlijkheid is geen garantie voor succes.	Moed is geen garantie voor succes.						neutral
681	681	681	crowd:upward_monotone:conjunction					Jane sloeg de vragen over die ze niet kon beantwoorden.	Jane en Brenda sloegen de vragen over die ze niet konden beantwoorden.						neutral
682	682	682	crowd:upward_monotone:conjunction					Jane en Brenda sloegen de vragen over die ze niet konden beantwoorden.	Jane sloeg de vragen over die ze niet kon beantwoorden.						entailment
683	683	683	crowd:upward_monotone					Jane sloeg de vragen over die ze niet kon beantwoorden.	Verwarde jane sloeg de vragen over die ze niet kon beantwoorden.						neutral
684	684	684	crowd:upward_monotone					Verwarde jane sloeg de vragen over die ze niet kon beantwoorden.	Jane sloeg de vragen over die ze niet kon beantwoorden.						neutral
685	685	685	crowd:downward_monotone					Maak anderen niet belachelijk.	Maak anderen hun fouten niet belachelijk.						neutral
686	686	686	crowd:downward_monotone					Maak anderen niet belachelijk.	Maak geen anderen in nood belachelijk.						neutral
687	687	687	crowd:downward_monotone					Maak anderen niet belachelijk.	Maak geen anderen die anders zijn belachelijk.						neutral
688	688	688	crowd:downward_monotone:conjunction					Tom lijkt geen gevoel voor humor te hebben.	Tom lijkt geen gevoel voor humor en empathie te hebben.						neutral
689	689	689	crowd:downward_monotone					Tom lijkt geen gevoel voor humor te hebben.	Tom lijkt geen gevoel voor intelligentie te hebben.						neutral
690	690	690	crowd:downward_monotone					Tom lijkt geen gevoel voor humor te hebben.	Tom lijkt geen gevoel voor dramatisch optreden te hebben.						neutral
691	691	691	crowd:upward_monotone:lexical_knowledge					Ik ben een normaal meisje.	Ik ben een normale maagd.						neutral
692	692	692	crowd:upward_monotone:lexical_knowledge					Brandweermannen dragen geen ontvlambare kleding.	Hulpen dragen geen ontvlambare kleding.						neutral
693	693	693	crowd:upward_monotone					Iedere zin aanwezig in Tatoeba is een leugen.	Iedere zin die arbeid beschrijft aanwezig in Tatoeba is een leugen.						neutral
694	694	694	crowd:upward_monotone:lexical_knowledge					Meisjes zijn niets dan problemen.	Tieners zijn niets dan problemen.						neutral
695	695	695	crowd:upward_monotone					Meisjes zijn niets dan problemen.	Gekke meisjes zijn niets dan problemen.						neutral
696	696	696	crowd:upward_monotone					Meisjes zijn niets dan problemen.	Luide meisjes zijn niets dan problemen.						neutral
697	697	697	crowd:upward_monotone					Meisjes zijn niets dan problemen.	Scherpe meisjes zijn niets dan problemen.						neutral
698	698	698	crowd:upward_monotone:lexical_knowledge					Die mayonaise is niets dan chemicaliën!	Die ketchup is niets dan chemicaliën!						neutral
699	699	699	crowd:upward_monotone:lexical_knowledge					Die mayonaise is niets dan chemicaliën!	Dat sap is niets dan chemicaliën!						neutral
700	700	700	crowd:downward_monotone:lexical_knowledge					Die mayonaise is niets dan chemicaliën!	Die mayonaise is niets dan slecht eten!						neutral
701	701	701	crowd:downward_monotone:lexical_knowledge					Die mayonaise is niets dan chemicaliën!	Die mayonaise is niets dan gif!						neutral
702	702	702	crowd:upward_monotone:lexical_knowledge					Antwoorden op jouw vragen bestaan niet.	Rechtvaardigingen voor jouw vragen bestaan niet.						neutral
703	703	703	crowd:upward_monotone:lexical_knowledge					Antwoorden op jouw vragen bestaan niet.	Voorbeelden die kunnen helpen bij jouw vraag bestaan niet.						neutral
704	704	704	crowd:upward_monotone:conjunction					Ik had geen verkopen vandaag.	Ik had geen verkopen vandaag en deze week.						neutral
705	705	705	crowd:upward_monotone:conjunction					Ik had geen verkopen vandaag en deze week.	Ik had geen verkopen vandaag.						entailment
706	706	706	crowd:upward_monotone					David kan niet thuis zijn.	David is buiten de stad dus hij kan niet thuis zijn.						neutral
707	707	707	crowd:upward_monotone					David kan niet thuis zijn.	David is bij een muziekconcert dus hij kan niet thuis zijn.						neutral
708	708	708	crowd:upward_monotone:conjunction					David kan niet thuis zijn.	David en zijn vrienden kunnen niet thuis zijn.						neutral
709	709	709	crowd:upward_monotone:conjunction					David en zijn vrienden kunnen niet thuis zijn.	David kan niet thuis zijn.						entailment
710	710	710	crowd:upward_monotone:conjunction					David kan niet thuis zijn.	David en sabrina kunnen niet thuis zijn.						neutral
711	711	711	crowd:upward_monotone					Ik ben een normaal meisje.	Ik ben een normaal mooi meisje.						neutral
712	712	712	crowd:upward_monotone					Ik ben een normaal mooi meisje.	Ik ben een normaal meisje.						entailment
713	713	713	crowd:upward_monotone					Een ree is een vrouwelijk hert.	Een bosree is een vrouwelijk hert.						neutral
714	714	714	crowd:upward_monotone					Een bosree is een vrouwelijk hert.	Een ree is een vrouwelijk hert.						entailment
715	715	715	crowd:upward_monotone:lexical_knowledge					Een schip dat olie vervoert heet een olietanker.	Een schip dat olie vervoert heet een vrachtschip.						neutral
716	716	716	crowd:upward_monotone:lexical_knowledge					Een schip dat olie vervoert heet een olietanker.	Een schip dat olie vervoert heet een transportschip.						neutral
717	717	717	crowd:downward_monotone:lexical_knowledge					Tom heeft geen gevoel voor humor.	Tom heeft geen gevoel voor werk.						neutral
718	718	718	crowd:upward_monotone:reverse					Het wereldgerechtshof heeft geen macht om zijn bevelen uit te voeren maar zijn beslissingen hebben traditioneel enig diplomatiek gewicht.	Het wereldgerechtshof heeft geen macht om zijn bevelen uit te voeren maar zijn beslissingen hebben traditioneel enig diplomatiek door de media gesteund gewicht.						neutral
719	719	719	crowd:upward_monotone:lexical_knowledge					Een eekhoorn droeg hondsdolheid over aan mijn dochter.	Een eekhoorn droeg liefheid over aan mijn dochter.						neutral
720	720	720	crowd:upward_monotone:lexical_knowledge					Een eekhoorn droeg hondsdolheid over aan mijn dochter.	Een eekhoorn droeg hazelnoot over aan mijn dochter.						neutral
721	721	721	crowd:upward_monotone:lexical_knowledge					Een eekhoorn droeg hondsdolheid over aan mijn dochter.	Een eekhoorn droeg huidziektes over aan mijn dochter.						neutral
722	722	722	crowd:upward_monotone:lexical_knowledge					Een eekhoorn droeg hondsdolheid over aan mijn dochter.	Een eekhoorn droeg woede over aan mijn dochter.						neutral
723	723	723	crowd:upward_monotone:lexical_knowledge					Een eerlijke man steelt nooit geld.	Een eerlijk kind steelt nooit geld.						neutral
724	724	724	crowd:upward_monotone:conjunction					Een eerlijke man steelt nooit geld.	Een eerlijke en religieuze man steelt nooit geld.						neutral
725	725	725	crowd:upward_monotone:conjunction					Een eerlijke en religieuze man steelt nooit geld.	Een eerlijke man steelt nooit geld.						entailment
726	726	726	crowd:upward_monotone					Tom liet een paar foto’s van Mary zien.	Tom liet een paar onbeleefde foto’s van Mary zien.						neutral
727	727	727	crowd:upward_monotone					Tom liet een paar onbeleefde foto’s van Mary zien.	Tom liet een paar foto’s van Mary zien.						entailment
728	728	728	crowd:upward_monotone					Tom plukte een paar bessen en at ze.	Tom plukte een paar zwarte bessen en at ze.						neutral
729	729	729	crowd:upward_monotone					Tom plukte een paar zwarte bessen en at ze.	Tom plukte een paar bessen en at ze.						entailment
730	730	730	crowd:upward_monotone					Tom plukte een paar bessen en at ze.	Tom plukte een paar rijpe bessen en at ze.						neutral
731	731	731	crowd:upward_monotone					Tom plukte een paar rijpe bessen en at ze.	Tom plukte een paar bessen en at ze.						entailment
732	732	732	crowd:upward_monotone:lexical_knowledge					Een kort lontje zal je kosten.	Een korte liefde zal je kosten.						neutral
733	733	733	crowd:upward_monotone:lexical_knowledge					Ik weet dat jij en Tom een paar problemen gehad hebben.	Ik weet dat jij en Tom een paar emoties gehad hebben.						neutral
734	734	734	crowd:upward_monotone:conjunction					Ik weet dat jij en Tom een paar problemen gehad hebben.	Ik weet dat jij en Tom een paar problemen en ruzies gehad hebben.						neutral
735	735	735	crowd:upward_monotone:conjunction					Ik weet dat jij en Tom een paar problemen en ruzies gehad hebben.	Ik weet dat jij en Tom een paar problemen gehad hebben.						entailment
736	736	736	crowd:upward_monotone:lexical_knowledge					Nucleaire wapens zijn een bedreiging voor de hele mensheid.	Biowapens zijn een bedreiging voor heel de mensheid.						neutral
